Ticker,Underwriter,Name,Price,Date,Status,Link
"GTSI","LS - RELIANCE SEKURITAS INDONESIA TBK.","PT GTS Internasional Tbk (GTSI)",100,"08 Sep 2021","","https://www.e-ipo.co.id/id/ipo/47/gtsi-pt-gts-internasional-tbk"
"CMNT","KI - CIPTADANA SEKURITAS ASIA","PT Cemindo Gemilang Tbk (CMNT)",680,"08 Sep 2021","","https://www.e-ipo.co.id/id/ipo/41/cmnt-pt-cemindo-gemilang-tbk"
"RUNS","YP - MIRAE ASSET SEKURITAS INDONESIA","PT Global Sukses Solusi Tbk (RUNS)",254,"08 Sep 2021","","https://www.e-ipo.co.id/id/ipo/48/runs-pt-global-sukses-solusi-tbk"
"RSGK","RF - BUANA CAPITAL SEKURITAS","PT Kedoya Adyaraya Tbk (RSGK)",1720,"08 Sep 2021","","https://www.e-ipo.co.id/id/ipo/44/rsgk-pt-kedoya-adyaraya-tbk"
"SBMA","HD - KGI SEKURITAS INDONESIA","PT Surya Biru Murni Acetylene Tbk (SBMA)",180,"08 Sep 2021","","https://www.e-ipo.co.id/id/ipo/46/sbma-pt-surya-biru-murni-acetylene-tbk"
"MCOL","RF - BUANA CAPITAL SEKURITAS","PT Prima Andalan Mandiri Tbk (MCOL)",1420,"07 Sep 2021","","https://www.e-ipo.co.id/id/ipo/40/mcol-pt-prima-andalan-mandiri-tbk"
"OILS","BQ - KOREA INVESTMENT AND SEKURITAS INDONESIA","PT Indo Oil Perkasa Tbk (OILS)",270,"06 Sep 2021","","https://www.e-ipo.co.id/id/ipo/43/oils-pt-indo-oil-perkasa-tbk"
"GPSO","SF - SURYA FAJAR SEKURITAS","PT Geoprima Solusi Tbk (GPSO)",180,"06 Sep 2021","","https://www.e-ipo.co.id/id/ipo/42/gpso-pt-geoprima-solusi-tbk"
"HAIS","DR - RHB SEKURITAS INDONESIA","PT Hasnur Internasional Shipping Tbk (HAIS)",300,"01 Sep 2021","","https://www.e-ipo.co.id/id/ipo/39/hais-pt-hasnur-internasional-shipping-tbk"
"UVCR","SF - SURYA FAJAR SEKURITAS","PT Trimegah Karya Pratama Tbk (UVCR)",100,"27 Jul 2021","","https://www.e-ipo.co.id/id/ipo/38/uvcr-pt-trimegah-karya-pratama-tbk"
"BMHS","KI - CIPTADANA SEKURITAS ASIA","PT Bundamedik Tbk (BMHS)",340,"06 Jul 2021","","https://www.e-ipo.co.id/id/ipo/37/bmhs-pt-bundamedik-tbk"
"MASB","SQ - BCA SEKURITAS","PT Bank Multiarta Sentosa Tbk (MASB)",3360,"30 Jun 2021","","https://www.e-ipo.co.id/id/ipo/36/masb-pt-bank-multiarta-sentosa-tbk"
"ARCI","AI - UOB KAY HIAN SEKURITAS","PT Archi Indonesia Tbk (ARCI)",750,"28 Jun 2021","","https://www.e-ipo.co.id/id/ipo/35/arci-pt-archi-indonesia-tbk"
"UNIQ","SF - SURYA FAJAR SEKURITAS","PT Ulima Nitra Tbk (UNIQ)",118,"08 Mar 2021","","https://www.e-ipo.co.id/id/ipo/2/uniq-pt-ulima-nitra-tbk"
"FAMA","AR - BINAARTHA SEKURITAS","PT Bank Fama International Tbk (FAMA)",298328,"17 Dec 2020","","https://www.e-ipo.co.id/id/ipo/1/fama-pt-bank-fama-international-tbk"
